ts_ms,close_research_slow_delta
1670875200000,133.429688
1670889600000,62.2871094
1670904000000,73.9570312
1670918400000,297.404297
1670932800000,408.683594
1670947200000,367.078125
1670961600000,382.705078
1670976000000,384.685547
1670990400000,400.644531
1671004800000,374.986328
1671019200000,506.246094
1671033600000,108.621094
1671048000000,115.792969
1671062400000,37.4472656
1671076800000,5.66015625
1671091200000,41.4082031
1671105600000,-240.300781
1671120000000,-207.837891
1671134400000,-275.085938
1671148800000,-217.341797
1671163200000,-129.951172
1671177600000,-511.480469
1671192000000,-511.662109
1671206400000,-549.099609
1671220800000,-719.914062
1671235200000,-639.298828
1671249600000,-541.050781
1671264000000,-572.708984
1671278400000,-568.007812
1671292800000,-565.505859
1671307200000,-461.351562
1671321600000,-495.115234
1671336000000,-475.894531
1671350400000,-497.75
1671364800000,-506.90625
1671379200000,-409.625
1671393600000,-381.900391
1671408000000,-416.505859
1671422400000,-354.789062
1671436800000,-338.738281
1671451200000,-376.861328
1671465600000,-421.007812
1671480000000,-465.480469
1671494400000,-144.035156
1671508800000,-57.3066406
1671523200000,-49.2597656
1671537600000,45.8085938
1671552000000,38.7832031
1671566400000,30.9570312
1671580800000,-25.5371094
1671595200000,-45.9375
1671609600000,17.25
1671624000000,-0.361328125
1671638400000,-94.4003906
1671652800000,-18.8085938
1671667200000,-9.38867188
1671681600000,-21.9589844
1671696000000,-16.2890625
1671710400000,-185.736328
1671724800000,-145.357422
1671739200000,12.6621094
1671753600000,24.3632812
1671768000000,33.8125
1671782400000,27.6660156
1671796800000,16.8261719
1671811200000,33.640625
1671825600000,-27.3710938
1671840000000,24.0273438
1671854400000,25.4550781
1671868800000,14.7402344
1671883200000,16.0605469
1671897600000,25.0566406
1671912000000,19.265625
1671926400000,18.7441406
1671940800000,1.17382812
1671955200000,2.04882812
1671969600000,-15.1484375
1671984000000,-21.1953125
1671998400000,16.8574219
1672012800000,75.6191406
1672027200000,33.7207031
1672041600000,42.5566406
1672056000000,-8.29296875
1672070400000,26.03125
1672084800000,94.5585938
1672099200000,36.0058594
1672113600000,29.3164062
1672128000000,-9.64453125
1672142400000,-34.9433594
