ts_ms,research_source_1_ang_pct_span_10
1669420800000,-1.05579674
1669435200000,0.34664166
1669449600000,1.8874867
1669464000000,3.82455063
1669478400000,5.02439833
1669492800000,5.24414492
1669507200000,5.94978523
1669521600000,5.881495
1669536000000,5.85802364
1669550400000,5.44867849
1669564800000,5.07156181
1669579200000,4.30155373
1669593600000,2.97849131
1669608000000,2.28805542
1669622400000,1.90512228
1669636800000,1.1542877
1669651200000,1.10501301
1669665600000,1.09764826
1669680000000,1.15643775
1669694400000,1.1439141
1669708800000,1.50739253
1669723200000,2.11544061
1669737600000,2.46992469
1669752000000,3.05787468
1669766400000,3.96126723
1669780800000,4.71893454
1669795200000,5.33962727
1669809600000,6.13248968
1669824000000,7.00848961
1669838400000,7.57565641
1669852800000,7.98230267
1669867200000,8.37922001
1669881600000,8.53662395
1669896000000,8.06174088
1669910400000,7.62048817
1669924800000,6.95388746
1669939200000,6.06761694
1669953600000,4.79945087
1669968000000,3.86375618
1669982400000,2.98757291
1669996800000,2.22314095
1670011200000,1.56276751
1670025600000,1.47768176
1670040000000,1.40063119
1670054400000,1.46931458
1670068800000,1.67031479
1670083200000,1.95732808
1670097600000,1.99163699
1670112000000,2.24877024
1670126400000,2.38021445
1670140800000,2.38459969
1670155200000,2.24037766
1670169600000,2.02997422
1670184000000,1.81989098
1670198400000,1.67251539
1670212800000,1.64049852
1670227200000,1.68133342
1670241600000,1.56064236
1670256000000,1.40724921
1670270400000,1.44634402
1670284800000,1.36888206
1670299200000,1.20756567
1670313600000,1.11862624
1670328000000,1.00665915
1670342400000,0.732189655
1670356800000,0.610513091
1670371200000,0.644853234
1670385600000,0.585699499
1670400000000,0.410059482
1670414400000,0.726491868
1670428800000,1.16917503
1670443200000,1.63290644
1670457600000,2.15525007
1670472000000,2.68729448
1670486400000,3.17609286
1670500800000,3.40073085
1670515200000,3.90988231
1670529600000,4.509727
1670544000000,4.65378428
1670558400000,4.50728464
1670572800000,4.27599716
1670587200000,3.87535024
1670601600000,3.5096128
1670616000000,3.10667634
1670630400000,2.89336276
1670644800000,2.54463315
1670659200000,2.09053898
1670673600000,1.71684361
1670688000000,1.48050237
1670702400000,1.29474175
1670716800000,1.24723542
1670731200000,1.06355309
1670745600000,0.659150779
1670760000000,0.215840787
1670774400000,-0.0892214328
1670788800000,-0.801344812
1670803200000,-1.44319296
1670817600000,-1.9761169
1670832000000,-2.56999087
1670846400000,-3.22586775
1670860800000,-3.65578222
1670875200000,-3.71063113
1670889600000,-3.88339114
1670904000000,-4.08275032
1670918400000,-3.72576857
1670932800000,-3.30285811
1670947200000,-2.97760129
1670961600000,-2.57061958
1670976000000,-2.30438161
1670990400000,-2.05205965
1671004800000,-1.92602789
1671019200000,-1.54074979
1671033600000,-1.21010184
1671048000000,-0.97206533
1671062400000,-0.8202492
1671076800000,-0.668417335
1671091200000,-0.639092147
1671105600000,-0.500364125
1671120000000,-0.384413242
1671134400000,-0.42544961
1671148800000,-0.620212495
1671163200000,-0.832945645
1671177600000,-1.37264323
1671192000000,-2.01498151
1671206400000,-2.65684843
1671220800000,-3.45336914
1671235200000,-4.1122942
1671249600000,-4.75565147
1671264000000,-5.40726757
1671278400000,-6.06126165
1671292800000,-6.72497606
1671307200000,-6.9613719
1671321600000,-7.15039349
1671336000000,-7.26729345
1671350400000,-7.15719271
1671364800000,-7.15776062
1671379200000,-7.02163982
1671393600000,-6.80693817
1671408000000,-6.71872854
1671422400000,-6.60198355
1671436800000,-6.66690636
1671451200000,-6.80434227
1671465600000,-6.97766066
1671480000000,-7.06945515
1671494400000,-7.21418953
1671508800000,-7.48024464
1671523200000,-7.62602949
1671537600000,-7.49444056
1671552000000,-7.43249607
1671566400000,-7.33137798
1671580800000,-7.26922703
1671595200000,-7.16876841
1671609600000,-7.12853003
1671624000000,-6.98282099
1671638400000,-6.93593597
1671652800000,-6.92494202
1671667200000,-7.08229446
1671681600000,-7.18822289
1671696000000,-7.13939905
1671710400000,-7.08034563
1671724800000,-6.92695475
1671739200000,-6.70063972
1671753600000,-6.53058624
1671768000000,-6.36390543
1671782400000,-6.21003056
1671796800000,-6.07955694
1671811200000,-5.86175489
1671825600000,-5.61478853
1671840000000,-5.26955509
1671854400000,-5.15058613
1671868800000,-5.09376049
1671883200000,-5.03534985
1671897600000,-4.94998503
1671912000000,-4.90378904
1671926400000,-4.82690811
1671940800000,-4.94624186
1671955200000,-5.32696199
1671969600000,-5.71310425
1671984000000,-5.96821117
1671998400000,-6.24906683
1672012800000,-6.41212177
1672027200000,-6.46600437
1672041600000,-6.47904348
1672056000000,-6.42187452
1672070400000,-6.11898327
1672084800000,-5.72430754
1672099200000,-5.39778996
1672113600000,-4.983006
1672128000000,-4.51962185
1672142400000,-4.12195778
1672156800000,-3.80469131
1672171200000,-3.51452565
1672185600000,-3.40553737
1672200000000,-3.49527264
1672214400000,-3.60083103
1672228800000,-3.51773262
1672243200000,-3.42139673
1672257600000,-3.43548417
1672272000000,-3.62001443
1672286400000,-3.80642033
1672300800000,-4.10207939
1672315200000,-4.36879015
1672329600000,-4.52503824
1672344000000,-4.75195646
