ts_ms,bb_middle,bb_upper_band,bb_lower_band
1612483200000,36964.3945,38298.9258,35629.8594
1612497600000,37123.8945,38249.3125,35998.4727
1612512000000,37217.0352,38329.4805,36104.5898
1612526400000,37334.1055,38412.3203,36255.8945
1612540800000,37447.3555,38263.4883,36631.2266
1612555200000,37550.1055,38449.8398,36650.3711
1612569600000,37734.3945,39003.1289,36465.6562
1612584000000,37857.6797,39399.9062,36315.4492
1612598400000,38049.25,40018.3555,36080.1445
1612612800000,38262.5352,40721.2734,35803.7969
1612627200000,38470.8555,41086.4414,35855.2734
1612641600000,38663.0703,41094.4844,36231.6562
1612656000000,38760.6055,41113.1445,36408.0664
1612670400000,38907.9648,41054.6172,36761.3125
1612684800000,39034.4648,41018.125,37050.8008
1612699200000,39052.7852,40993.1992,37112.3711
1612713600000,39078.1797,40959.9023,37196.4531
1612728000000,39139.25,40932.4023,37346.0977
1612742400000,39172.5352,40867.4023,37477.668
1612756800000,39237.3203,40876.3906,37598.25
1612771200000,39240.2852,40881.2148,37599.3594
1612785600000,39577.7852,42602.8398,36552.7344
1612800000000,39783.3203,43317.4414,36249.2031
1612814400000,40185.6445,45141.8242,35229.4648
1612828800000,40644.5,46639.6055,34649.3945
1612843200000,41240.3945,48171.0898,34309.6953
1612857600000,41783.0352,49079.2227,34486.8477
1612872000000,42335.3203,49895.2539,34775.3906
1612886400000,42904.4648,50629.8984,35179.0312
1612900800000,43511.3203,50933.5938,36089.0469
1612915200000,44098.8203,51011.7344,37185.9102
1612929600000,44659.9297,51038.6953,38281.1602
1612944000000,45275.5,50576.0195,39974.9805
1612958400000,45637.4648,49833.1328,41441.793
1612972800000,46051.8945,48550.1094,43553.6758
1612987200000,46103.6445,48469.7695,43737.5195
1613001600000,46277.25,48027.5664,44526.9336
1613016000000,46147.7852,48058.4453,44237.125
1613030400000,46108.4648,47992.3359,44224.5938
1613044800000,46144.75,48160.9531,44128.5469
1613059200000,46246.0352,48458.0195,44034.0547
1613073600000,46338.25,48736.6992,43939.8008
1613088000000,46377.9648,48846.8711,43909.0547
1613102400000,46443.3555,48970.5977,43916.1172
1613116800000,46542.3945,49156.6016,43928.1836
1613131200000,46568.1055,49196.0625,43940.1523
1613145600000,46617.0703,49279.7969,43954.3438
1613160000000,46837.6445,49214.5312,44460.7539
1613174400000,47030.5,49319.5742,44741.4258
1613188800000,47187.75,49144.8945,45230.6055
1613203200000,47262.3945,49040.1406,45484.6445
1613217600000,47433.9297,48542.2305,46325.6289
1613232000000,47490.7148,48398.7617,46582.668
1613246400000,47426.2148,48260.6641,46591.7656
1613260800000,47391.9648,48179.5977,46604.332
1613275200000,47450.8203,48516.3242,46385.3203
1613289600000,47559.3555,48965.6562,46153.0586
